OneView IEC 61400-25-2 Edition 2,NODE,TAGName,Description,SI Unit,Type,DataType,CollectorType
WCNV.GriFilTmp2_10m_Std,WCNV.,GriFilTmp2_10m_Std,Grid filter temperature phase L2,�C,Standard Deviation,Double,10 minute tag
WCNV.GriFilTmp3,WCNV.,GriFilTmp3,Grid filter temperature phase L3,�C,Live Value,Double,Live Value
WCNV.GriFilTmp3_10m_Avg,WCNV.,GriFilTmp3_10m_Avg,Grid filter temperature phase L3,�C,Average,Double,10 minute tag
WCNV.GriFilTmp3_10m_Max,WCNV.,GriFilTmp3_10m_Max,Grid filter temperature phase L3,�C,Maximum,Double,10 minute tag
WCNV.GriFilTmp3_10m_Min,WCNV.,GriFilTmp3_10m_Min,Grid filter temperature phase L3,�C,Minimum,Double,10 minute tag
WCNV.GriFilTmp3_10m_Std,WCNV.,GriFilTmp3_10m_Std,Grid filter temperature phase L3,�C,Standard Deviation,Double,10 minute tag
WCNV.GriHz,WCNV.,GriHz,Frequency at all three phases at the converter level,Hz,Live Value,Double,Live Value
WCNV.GriHz_10m_Avg,WCNV.,GriHz_10m_Avg,Frequency at all three phases at the converter level,Hz,Average,Double,10 minute tag
WCNV.GriHz_10m_Max,WCNV.,GriHz_10m_Max,Frequency at all three phases at the converter level,Hz,Maximum,Double,10 minute tag
WCNV.GriHz_10m_Min,WCNV.,GriHz_10m_Min,Frequency at all three phases at the converter level,Hz,Minimum,Double,10 minute tag
WCNV.GriHz_10m_Std,WCNV.,GriHz_10m_Std,Frequency at all three phases at the converter level,Hz,Standard Deviation,Double,10 minute tag
WCNV.GriPF,WCNV.,GriPF,Powerfactor average of all three phases,PF,Live Value,Double,Live Value
WCNV.GriPF_10m_Avg,WCNV.,GriPF_10m_Avg,Powerfactor average of all three phases,PF,Average,Double,10 minute tag
WCNV.GriPF_10m_Max,WCNV.,GriPF_10m_Max,Powerfactor average of all three phases,PF,Maximum,Double,10 minute tag
WCNV.GriPF_10m_Min,WCNV.,GriPF_10m_Min,Powerfactor average of all three phases,PF,Minimum,Double,10 minute tag
WCNV.GriPF_10m_Std,WCNV.,GriPF_10m_Std,Powerfactor average of all three phases,PF,Standard Deviation,Double,10 minute tag
WCNV.GriPF1,WCNV.,GriPF1,Power factor phase L1 grid side,PF,Live Value,Double,Live Value
WCNV.GriPF1_10m_Avg,WCNV.,GriPF1_10m_Avg,Power factor phase L1 grid side,PF,Average,Double,10 minute tag
WCNV.GriPF1_10m_Max,WCNV.,GriPF1_10m_Max,Power factor phase L1 grid side,PF,Maximum,Double,10 minute tag
WCNV.GriPF1_10m_Min,WCNV.,GriPF1_10m_Min,Power factor phase L1 grid side,PF,Minimum,Double,10 minute tag
WCNV.GriPF1_10m_Std,WCNV.,GriPF1_10m_Std,Power factor phase L1 grid side,PF,Standard Deviation,Double,10 minute tag
WCNV.GriPF2,WCNV.,GriPF2,Power factor phase L2 grid side,PF,Live Value,Double,Live Value
WCNV.GriPF2_10m_Avg,WCNV.,GriPF2_10m_Avg,Power factor phase L2 grid side,PF,Average,Double,10 minute tag
WCNV.GriPF2_10m_Max,WCNV.,GriPF2_10m_Max,Power factor phase L2 grid side,PF,Maximum,Double,10 minute tag
WCNV.GriPF2_10m_Min,WCNV.,GriPF2_10m_Min,Power factor phase L2 grid side,PF,Minimum,Double,10 minute tag
WCNV.GriPF2_10m_Std,WCNV.,GriPF2_10m_Std,Power factor phase L2 grid side,PF,Standard Deviation,Double,10 minute tag
WCNV.GriPF3,WCNV.,GriPF3,Power factor phase L3 grid side,PF,Live Value,Double,Live Value
WCNV.GriPF3_10m_Avg,WCNV.,GriPF3_10m_Avg,Power factor phase L3 grid side,PF,Average,Double,10 minute tag
WCNV.GriPF3_10m_Max,WCNV.,GriPF3_10m_Max,Power factor phase L3 grid side,PF,Maximum,Double,10 minute tag
WCNV.GriPF3_10m_Min,WCNV.,GriPF3_10m_Min,Power factor phase L3 grid side,PF,Minimum,Double,10 minute tag
WCNV.GriPF3_10m_Std,WCNV.,GriPF3_10m_Std,Power factor phase L3 grid side,PF,Standard Deviation,Double,10 minute tag
WCNV.GriPNV,WCNV.,GriPNV,Voltage between phasesand neutral at the converter level (Grid side),V,Live Value,Double,Live Value
WCNV.GriPNV_10m_Avg,WCNV.,GriPNV_10m_Avg,Voltage between phasesand neutral at the converter level (Grid side),V,Average,Double,10 minute tag
WCNV.GriPNV_10m_Max,WCNV.,GriPNV_10m_Max,Voltage between phasesand neutral at the converter level (Grid side),V,Maximum,Double,10 minute tag
WCNV.GriPNV_10m_Min,WCNV.,GriPNV_10m_Min,Voltage between phasesand neutral at the converter level (Grid side),V,Minimum,Double,10 minute tag
WCNV.GriPNV_10m_Std,WCNV.,GriPNV_10m_Std,Voltage between phasesand neutral at the converter level (Grid side),V,Standard Deviation,Double,10 minute tag
WCNV.GriPNV1,WCNV.,GriPNV1,Voltage between phase L1 and neutral at the converter level (Grid side),V,Live Value,Double,Live Value
WCNV.GriPNV1_10m_Avg,WCNV.,GriPNV1_10m_Avg,Voltage between phase L1 and neutral at the converter level (Grid side),V,Average,Double,10 minute tag
WCNV.GriPNV1_10m_Max,WCNV.,GriPNV1_10m_Max,Voltage between phase L1 and neutral at the converter level (Grid side),V,Maximum,Double,10 minute tag
WCNV.GriPNV1_10m_Min,WCNV.,GriPNV1_10m_Min,Voltage between phase L1 and neutral at the converter level (Grid side),V,Minimum,Double,10 minute tag
WCNV.GriPNV1_10m_Std,WCNV.,GriPNV1_10m_Std,Voltage between phase L1 and neutral at the converter level (Grid side),V,Standard Deviation,Double,10 minute tag
WCNV.GriPNV2,WCNV.,GriPNV2,Voltage between phase L2 and neutral at the converter level (Grid side),V,Live Value,Double,Live Value
WCNV.GriPNV2_10m_Avg,WCNV.,GriPNV2_10m_Avg,Voltage between phase L2 and neutral at the converter level (Grid side),V,Average,Double,10 minute tag
WCNV.GriPNV2_10m_Max,WCNV.,GriPNV2_10m_Max,Voltage between phase L2 and neutral at the converter level (Grid side),V,Maximum,Double,10 minute tag
WCNV.GriPNV2_10m_Min,WCNV.,GriPNV2_10m_Min,Voltage between phase L2 and neutral at the converter level (Grid side),V,Minimum,Double,10 minute tag
WCNV.GriPNV2_10m_Std,WCNV.,GriPNV2_10m_Std,Voltage between phase L2 and neutral at the converter level (Grid side),V,Standard Deviation,Double,10 minute tag
WCNV.GriPNV3,WCNV.,GriPNV3,Voltage between phase L3 and neutral at the converter level (Grid Side),V,Live Value,Double,Live Value
WCNV.GriPNV3_10m_Avg,WCNV.,GriPNV3_10m_Avg,Voltage between phase L3 and neutral at the converter level (Grid Side),V,Average,Double,10 minute tag
WCNV.GriPNV3_10m_Max,WCNV.,GriPNV3_10m_Max,Voltage between phase L3 and neutral at the converter level (Grid Side),V,Maximum,Double,10 minute tag
WCNV.GriPNV3_10m_Min,WCNV.,GriPNV3_10m_Min,Voltage between phase L3 and neutral at the converter level (Grid Side),V,Minimum,Double,10 minute tag
WCNV.GriPNV3_10m_Std,WCNV.,GriPNV3_10m_Std,Voltage between phase L3 and neutral at the converter level (Grid Side),V,Standard Deviation,Double,10 minute tag
WCNV.GriPPV,WCNV.,GriPPV,Grid side 3 phase phase-to-phase voltage,V,,Double,
WCNV.GriPPV1,WCNV.,GriPPV1,Grid side L1 3 phase phase-to-phase voltage,V,Live Value,Double,Live Value
WCNV.GriPPV1_10m_Avg,WCNV.,GriPPV1_10m_Avg,Grid side L1 3 phase phase-to-phase voltage,V,Average,Double,10 minute tag
WCNV.GriPPV1_10m_Max,WCNV.,GriPPV1_10m_Max,Grid side L1 3 phase phase-to-phase voltage,V,Maximum,Double,10 minute tag
WCNV.GriPPV1_10m_Min,WCNV.,GriPPV1_10m_Min,Grid side L1 3 phase phase-to-phase voltage,V,Minimum,Double,10 minute tag
WCNV.GriPPV1_10m_Std,WCNV.,GriPPV1_10m_Std,Grid side L1 3 phase phase-to-phase voltage,V,Standard Deviation,Double,10 minute tag
WCNV.GriPPV2,WCNV.,GriPPV2,Grid side L2 3 phase phase-to-phase voltage,V,Live Value,Double,Live Value
WCNV.GriPPV2_10m_Avg,WCNV.,GriPPV2_10m_Avg,Grid side L2 3 phase phase-to-phase voltage,V,Average,Double,10 minute tag
WCNV.GriPPV2_10m_Max,WCNV.,GriPPV2_10m_Max,Grid side L2 3 phase phase-to-phase voltage,V,Maximum,Double,10 minute tag
WCNV.GriPPV2_10m_Min,WCNV.,GriPPV2_10m_Min,Grid side L2 3 phase phase-to-phase voltage,V,Minimum,Double,10 minute tag
WCNV.GriPPV2_10m_Std,WCNV.,GriPPV2_10m_Std,Grid side L2 3 phase phase-to-phase voltage,V,Standard Deviation,Double,10 minute tag
WCNV.GriPPV3,WCNV.,GriPPV3,Grid side L3 3 phase phase-to-phase voltage,V,Live Value,Double,Live Value
WCNV.GriPPV3_10m_Avg,WCNV.,GriPPV3_10m_Avg,Grid side L3 3 phase phase-to-phase voltage,V,Average,Double,10 minute tag
WCNV.GriPPV3_10m_Max,WCNV.,GriPPV3_10m_Max,Grid side L3 3 phase phase-to-phase voltage,V,Maximum,Double,10 minute tag
WCNV.GriPPV3_10m_Min,WCNV.,GriPPV3_10m_Min,Grid side L3 3 phase phase-to-phase voltage,V,Minimum,Double,10 minute tag
WCNV.GriPPV3_10m_Std,WCNV.,GriPPV3_10m_Std,Grid side L3 3 phase phase-to-phase voltage,V,Standard Deviation,Double,10 minute tag
WCNV.GriTmp,WCNV.,GriTmp,Converter temperature grid side,�C,Live Value,Double,Live Value
WCNV.GriTmp_10m_Avg,WCNV.,GriTmp_10m_Avg,Converter temperature grid side,�C,Average,Double,10 minute tag
WCNV.GriTmp_10m_Max,WCNV.,GriTmp_10m_Max,Converter temperature grid side,�C,Maximum,Double,10 minute tag
WCNV.GriTmp_10m_Min,WCNV.,GriTmp_10m_Min,Converter temperature grid side,�C,Minimum,Double,10 minute tag
WCNV.GriTmp_10m_Std,WCNV.,GriTmp_10m_Std,Converter temperature grid side,�C,Standard Deviation,Double,10 minute tag
WCNV.GriTmp1,WCNV.,GriTmp1,Converter temperature grid side 1,�C,Live Value,Double,Live Value
WCNV.GriTmp1_10m_Avg,WCNV.,GriTmp1_10m_Avg,Converter temperature grid side 1,�C,Average,Double,10 minute tag
WCNV.GriTmp1_10m_Max,WCNV.,GriTmp1_10m_Max,Converter temperature grid side 1,�C,Maximum,Double,10 minute tag
WCNV.GriTmp1_10m_Min,WCNV.,GriTmp1_10m_Min,Converter temperature grid side 1,�C,Minimum,Double,10 minute tag
WCNV.GriTmp1_10m_Std,WCNV.,GriTmp1_10m_Std,Converter temperature grid side 1,�C,Standard Deviation,Double,10 minute tag
WCNV.GriTmp2,WCNV.,GriTmp2,Converter temperature grid side 2,�C,Live Value,Double,Live Value
WCNV.GriTmp2_10m_Avg,WCNV.,GriTmp2_10m_Avg,Converter temperature grid side 2,�C,Average,Double,10 minute tag
WCNV.GriTmp2_10m_Max,WCNV.,GriTmp2_10m_Max,Converter temperature grid side 2,�C,Maximum,Double,10 minute tag
WCNV.GriTmp2_10m_Min,WCNV.,GriTmp2_10m_Min,Converter temperature grid side 2,�C,Minimum,Double,10 minute tag
WCNV.GriTmp2_10m_Std,WCNV.,GriTmp2_10m_Std,Converter temperature grid side 2,�C,Standard Deviation,Double,10 minute tag
WCNV.GriTmp3,WCNV.,GriTmp3,Converter temperature grid side 3,�C,Live Value,Double,Live Value
WCNV.GriTmp3_10m_Avg,WCNV.,GriTmp3_10m_Avg,Converter temperature grid side 3,�C,Average,Double,10 minute tag
WCNV.GriTmp3_10m_Max,WCNV.,GriTmp3_10m_Max,Converter temperature grid side 3,�C,Maximum,Double,10 minute tag
WCNV.GriTmp3_10m_Min,WCNV.,GriTmp3_10m_Min,Converter temperature grid side 3,�C,Minimum,Double,10 minute tag
WCNV.GriTmp3_10m_Std,WCNV.,GriTmp3_10m_Std,Converter temperature grid side 3,�C,Standard Deviation,Double,10 minute tag
WCNV.HtSnkTmp,WCNV.,HtSnkTmp,Converter Heat Sink Temperature,Degrees,Live Value,Double,Live Value
WCNV.HtSnkTmp_10m_Avg,WCNV.,HtSnkTmp_10m_Avg,Converter Heat Sink Temperature,Degrees,Average,Double,10 minute tag
WCNV.HtSnkTmp_10m_Max,WCNV.,HtSnkTmp_10m_Max,Converter Heat Sink Temperature,Degrees,Maximum,Double,10 minute tag
WCNV.HtSnkTmp_10m_Min,WCNV.,HtSnkTmp_10m_Min,Converter Heat Sink Temperature,Degrees,Minimum,Double,10 minute tag
WCNV.HtSnkTmp_10m_Std,WCNV.,HtSnkTmp_10m_Std,Converter Heat Sink Temperature,Degrees,Standard Deviation,Double,10 minute tag
WCNV.MainPnlFanCnt,WCNV.,MainPnlFanCnt,Number of activations of main panel fan,Count,Total Counter,Long,Live Value
WCNV.MainPnlFanCnt_10m_End,WCNV.,MainPnlFanCnt_10m_End,Number of activations of main panel fan,Count,Total Counter,Long,10 minute tag
WCNV.MainPnlFanTms,WCNV.,MainPnlFanTms,Time main panel fan has been activated,seconds,Total Counter,Long,Live Value
WCNV.MainPnlFanTms_10m_End,WCNV.,MainPnlFanTms_10m_End,Time main panel fan has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.MainPnlHtCnt,WCNV.,MainPnlHtCnt,Number of activations of main panel heat,Count,Total Counter,Long,Live Value
WCNV.MainPnlHtCnt_10m_End,WCNV.,MainPnlHtCnt_10m_End,Number of activations of main panel heat,Count,Total Counter,Long,10 minute tag
WCNV.MainPnlHtTms,WCNV.,MainPnlHtTms,Time main panel heat has been activated,seconds,Total Counter,Long,Live Value
WCNV.MainPnlHtTms_10m_End,WCNV.,MainPnlHtTms_10m_End,Time main panel heat has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.MainPnlTmp,WCNV.,MainPnlTmp,Main panel temperature,�C,Live Value,Double,Live Value
WCNV.MainPnlTmp_10m_Avg,WCNV.,MainPnlTmp_10m_Avg,Main panel temperature,�C,Average,Double,10 minute tag
WCNV.MainPnlTmp_10m_Max,WCNV.,MainPnlTmp_10m_Max,Main panel temperature,�C,Maximum,Double,10 minute tag
WCNV.MainPnlTmp_10m_Min,WCNV.,MainPnlTmp_10m_Min,Main panel temperature,�C,Minimum,Double,10 minute tag
WCNV.MainPnlTmp_10m_Std,WCNV.,MainPnlTmp_10m_Std,Main panel temperature,�C,Standard Deviation,Double,10 minute tag
WCNV.OpPnlTmp,WCNV.,OpPnlTmp,Operation panel temperature,�C,Live Value,Double,Live Value
WCNV.OpPnlTmp_10m_Avg,WCNV.,OpPnlTmp_10m_Avg,Operation panel temperature,�C,Average,Double,10 minute tag
WCNV.OpPnlTmp_10m_Max,WCNV.,OpPnlTmp_10m_Max,Operation panel temperature,�C,Maximum,Double,10 minute tag
WCNV.OpPnlTmp_10m_Min,WCNV.,OpPnlTmp_10m_Min,Operation panel temperature,�C,Minimum,Double,10 minute tag
WCNV.OpPnlTmp_10m_Std,WCNV.,OpPnlTmp_10m_Std,Operation panel temperature,�C,Standard Deviation,Double,10 minute tag
WCNV.OpTmsRs,WCNV.,OpTmsRs,Converter operation time in seconds (vendor specific),seconds,,Long,
WCNV.PhsCmpCnt1,WCNV.,PhsCmpCnt1,Number of activations of phase compensation step 1,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt1_10m_End,WCNV.,PhsCmpCnt1_10m_End,Number of activations of phase compensation step 1,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt10,WCNV.,PhsCmpCnt10,Number of activations of phase compensation step 10,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt10_10m_End,WCNV.,PhsCmpCnt10_10m_End,Number of activations of phase compensation step 10,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt2,WCNV.,PhsCmpCnt2,Number of activations of phase compensation step 2,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt2_10m_End,WCNV.,PhsCmpCnt2_10m_End,Number of activations of phase compensation step 2,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt3,WCNV.,PhsCmpCnt3,Number of activations of phase compensation step 3,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt3_10m_End,WCNV.,PhsCmpCnt3_10m_End,Number of activations of phase compensation step 3,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt4,WCNV.,PhsCmpCnt4,Number of activations of phase compensation step 4,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt4_10m_End,WCNV.,PhsCmpCnt4_10m_End,Number of activations of phase compensation step 4,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt5,WCNV.,PhsCmpCnt5,Number of activations of phase compensation step 5,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt5_10m_End,WCNV.,PhsCmpCnt5_10m_End,Number of activations of phase compensation step 5,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt6,WCNV.,PhsCmpCnt6,Number of activations of phase compensation step 6,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt6_10m_End,WCNV.,PhsCmpCnt6_10m_End,Number of activations of phase compensation step 6,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt7,WCNV.,PhsCmpCnt7,Number of activations of phase compensation step 7,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt7_10m_End,WCNV.,PhsCmpCnt7_10m_End,Number of activations of phase compensation step 7,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt8,WCNV.,PhsCmpCnt8,Number of activations of phase compensation step 8,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt8_10m_End,WCNV.,PhsCmpCnt8_10m_End,Number of activations of phase compensation step 8,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpCnt9,WCNV.,PhsCmpCnt9,Number of activations of phase compensation step 9,Count,Total Counter,Long,Live Value
WCNV.PhsCmpCnt9_10m_End,WCNV.,PhsCmpCnt9_10m_End,Number of activations of phase compensation step 9,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpFanCnt,WCNV.,PhsCmpFanCnt,Number of activations of the phase compensation fan,Count,Total Counter,Long,Live Value
WCNV.PhsCmpFanCnt_10m_End,WCNV.,PhsCmpFanCnt_10m_End,Number of activations of the phase compensation fan,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpFanTms,WCNV.,PhsCmpFanTms,Time phase compensation fan has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpFanTms_10m_End,WCNV.,PhsCmpFanTms_10m_End,Time phase compensation fan has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpHtCnt,WCNV.,PhsCmpHtCnt,Number of activations of the phase compensation heat,Count,Total Counter,Long,Live Value
WCNV.PhsCmpHtCnt_10m_End,WCNV.,PhsCmpHtCnt_10m_End,Number of activations of the phase compensation heat,Count,Total Counter,Long,10 minute tag
WCNV.PhsCmpHtTms,WCNV.,PhsCmpHtTms,Time phase compensation heat has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpHtTms_10m_End,WCNV.,PhsCmpHtTms_10m_End,Time phase compensation heat has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpPnlTmp,WCNV.,PhsCmpPnlTmp,Phase compensation panel temperature,�C,Live Value,Double,Live Value
WCNV.PhsCmpPnlTmp_10m_Avg,WCNV.,PhsCmpPnlTmp_10m_Avg,Phase compensation panel temperature,�C,Average,Double,10 minute tag
WCNV.PhsCmpPnlTmp_10m_Max,WCNV.,PhsCmpPnlTmp_10m_Max,Phase compensation panel temperature,�C,Maximum,Double,10 minute tag
WCNV.PhsCmpPnlTmp_10m_Min,WCNV.,PhsCmpPnlTmp_10m_Min,Phase compensation panel temperature,�C,Minimum,Double,10 minute tag
WCNV.PhsCmpPnlTmp_10m_Std,WCNV.,PhsCmpPnlTmp_10m_Std,Phase compensation panel temperature,�C,Standard Deviation,Double,10 minute tag
WCNV.PhsCmpTms1,WCNV.,PhsCmpTms1,Time phase compensation 1 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms1_10m_End,WCNV.,PhsCmpTms1_10m_End,Time phase compensation 1 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms10,WCNV.,PhsCmpTms10,Time phase compensation 10 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms10_10m_End,WCNV.,PhsCmpTms10_10m_End,Time phase compensation 10 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms2,WCNV.,PhsCmpTms2,Time phase compensation 2 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms2_10m_End,WCNV.,PhsCmpTms2_10m_End,Time phase compensation 2 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms3,WCNV.,PhsCmpTms3,Time phase compensation 3 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms3_10m_End,WCNV.,PhsCmpTms3_10m_End,Time phase compensation 3 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms4,WCNV.,PhsCmpTms4,Time phase compensation 4 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms4_10m_End,WCNV.,PhsCmpTms4_10m_End,Time phase compensation 4 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms5,WCNV.,PhsCmpTms5,Time phase compensation 5 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms5_10m_End,WCNV.,PhsCmpTms5_10m_End,Time phase compensation 5 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms6,WCNV.,PhsCmpTms6,Time phase compensation 6 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms6_10m_End,WCNV.,PhsCmpTms6_10m_End,Time phase compensation 6 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms7,WCNV.,PhsCmpTms7,Time phase compensation 7 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms7_10m_End,WCNV.,PhsCmpTms7_10m_End,Time phase compensation 7 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms8,WCNV.,PhsCmpTms8,Time phase compensation 8 has been activated,seconds,Total Counter,Long,Live Value
WCNV.PhsCmpTms8_10m_End,WCNV.,PhsCmpTms8_10m_End,Time phase compensation 8 has been activated,seconds,Total Counter,Long,10 minute tag
WCNV.PhsCmpTms9,WCNV.,PhsCmpTms9,Time phase compensation 9 has been activated,seconds,Total Counter,Long,Live Value
